input_data,expected_output
Levurinett,Saccharomyces cerevisiae
acrylic acid,acrylate
Xuan Fu Dai Zhe Shi Tang,Piellia ternata whole extract
Anastrozol Onkovis,anastrozole
Mykontral,tioconazole
Olmesartan / Amlodipin / HCT Mylan,amlodipine
Alpharutin,Euphrasia officinalis preparation
True Test,"N-cyclohexyl-N'-phenyl-1,4-phenylenediamine"
Panvax Hn Junior,"Influenza Virus Vaccine, Live Attenuated, A-California-7-2009 (H1N1) strain"
Temetex C,diflucortolone
Mediplex,Viburnum opulus root
Lyphosot,Scrophularia nodosa extract
Neyfollik,Sus scrofa corpus luteum preparation
Dotarem,gadoteridol
Adzynma,"ADAMTS13, recombinant"
TROPHIRES ENFANTS,thiophene
Elocta,"glycoprotein hormones, alpha subunit"
Glucorect,gold
Arduan,pipecuronium
Vaxchora,Cholera Vaccine
Cohoshplex,Verbena hastata top extract
Zirkubella,orotic acid
Dongweili,levocarnitine
Sandostatine Lar,octreotide
Rethymic,allogeneic processed thymus tissue
Dibenzyran,phenoxybenzamine
Neuronix Hp,lead
Discus,Bos taurus intervertebral disc preparation
Sauerdorn,Berberis vulgaris fruit extract
bitolterol mesylate,bitolterol
Winrevair,sotatercept
Stiolto,oldaterol
Mai Men Dong Tang,Ophiopogon japonicus root extract
Aar Os N,egg shell membrane
"2,4-dichlorophenoxyacetic acid, sodium salt","2,4-dichlorophenoxyacetate"
Pinetarsol,triethanolamine lauryl sulfate
